TemplateType=fptcustomcustom	Version=2019.0127	TemplateSignature=T1VURVJXRUFSLEJMQVpFUg==	上3行は Amazon.com 記入用です。上3行は変更または削除しないでください。.																							画像								バリエーション				商品基本情報											商品検索情報																推奨ブラウズノード別の情報	出品情報																							
feed_product_type	出品者SKU	ブランド名	商品名	商品コード(JANコード等)	商品コードのタイプ	表地素材	推奨ブラウズノード	サイズ	カラー	カラーマップ	対象年齢・性別	サイズマップ	在庫数	商品の販売価格	商品メイン画像URL	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	素材構成	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	商品のサブ画像URL	親子指定	親商品のSKU(商品管理番号)	親子関係のタイプ	バリエーションテーマ	アップデート・削除	メーカー型番	商品説明文	ヒールのタイプ	留め具のタイプ	モデル年(発売年・発表年)	inner_material_type1	inner_material_type2	inner_material_type3	inner_material_type4	inner_material_type5	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	商品説明の箇条書き	検索キーワード	ライフスタイル	ライフスタイル	スタイルキーワード	シーズン	プラチナキーワード	プラチナキーワード	プラチナキーワード	プラチナキーワード	プラチナキーワード	コート・ワンピース・チュニック着丈	material_type	出荷作業日数	商品のコンディション	商品のコンディション説明	ポイント	セール時ポイント	商品の公開日	予約商品の販売開始日	メーカー希望価格	使用しない支払い方法	配送日時指定SKUリスト	セール価格	セール開始日	セール終了日	商品の入荷予定日	最大注文個数	ギフトメッセージ	ギフト包装	メーカー製造中止	配送パターン	販売形態(並行輸入品)	item_package_quantity	廃盤日	販売開始日	商品タックスコード
feed_product_type	item_sku	brand_name	item_name	external_product_id	external_product_id_type	outer_material_type	recommended_browse_nodes	size_name	color_name	color_map	department_name	size_map	quantity	standard_price	main_image_url	material_composition1	material_composition2	material_composition3	material_composition4	material_composition5	material_composition6	material_composition7	material_composition8	material_composition9	material_composition10	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	other_image_url7	other_image_url8	parent_child	parent_sku	relationship_type	variation_theme	update_delete	part_number	product_description	heel_type	closure_type	model_year	inner_material_type1	inner_material_type2	inner_material_type3	inner_material_type4	inner_material_type5	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	generic_keywords	lifestyle1	lifestyle2	style_keywords	seasons	platinum_keywords1	platinum_keywords2	platinum_keywords3	platinum_keywords4	platinum_keywords5	specific_uses_keywords	material_type	fulfillment_latency	condition_type	condition_note	standard_price_points	sale_price_points	product_site_launch_date	merchant_release_date	list_price	optional_payment_type_exclusion	delivery_schedule_group_id	sale_price	sale_from_date	sale_end_date	restock_date	max_order_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	distribution_designation	item_package_quantity	offering_end_date	offering_start_date	product_tax_code
outerwear	ARC003A	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's    	 	 	 	2131480051	 	 	 	レディーズ	 	 	 	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TOR.jpg											 	 	 	 	 	 			parent	 	 	SizeColor	Update		"その日の驚くべき事実ではありません。山の嵐はどこにもないところから出てきて、本当に速く動きます。穏やかなブルーバードの日だったことは突然深刻な高山の経験に変わることができます、そしてあなたが嵐のように速く動くことができない限りあなたは乾いた状態を保つことができないでしょう。たったの10.8オンスの重量で、Arc'teryx Alpha SLメンズジャケットはあなたを嵐の一歩先をキープするでしょう、頑丈でコンパクトなレインシェルです。 Arc'teryxのAlphaコレクション（SLはsuperlightを意味します）の一部として、このシェルはあなたのハーネスやバックパックに留めるように設計されているので、あなたは常に長い登山と高山の遠征に備えています。軽量のナイロン製で、GoreTex PacLiteメンブレンで防水加工されたSLは、嵐の間にも送信できるように、e3Dの人間工学に基づいたアーティキュレート構造のトリムフィットを採用しています。
持ち運びを簡単にするために、SLはそれ自身のポケットに詰め込み、ウェビングループを介してあなたのハーネスに留めます。それが本当に厄介になるならば、StormHoodはあなたのヘルメットを覆い、片手のシンチで調節します、そしてWaterTightジッパーはあなたのジャケットにその方法を見つけることから卑劣な湿気を防ぎます。何よりもまず、取り外し可能なHemLockフォームインサートがSLの裾の周りにあり、ハーネスの下に滑り落ちて露出した皮膚が残るのを防ぎます。それが思慮深いデザインでなければ、何もありません。
  防水性と通気性のあるGoreTex PacLiteメンブレン
  e3D人間工学に基づいた関節式構造のトリムフィット
  ヘルメット対応StormHood
  HemLockインサートは、ジャケットがハーネスの下に滑り落ちるのを防ぎます
  WaterTighフロントジッパー
  ハーネス対応ポケット
  防水性と通気性のあるGoreTex PacLiteメンブレン
  e3D人間工学に基づいた関節式構造のトリムフィット
  ヘルメット対応StormHood
  HemLockインサートは、ジャケットがハーネスの下に滑り落ちるのを防ぎます
  WaterTighフロントジッパー
  ハーネス対応ポケット"																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TRI-S	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Triton S	686487201286.0	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	S	Triton	Triton	レディーズ	S	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TRI-M	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Triton M	686487201279.0	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	M	Triton	Triton	レディーズ	M	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TRI-L	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Triton L	686487201262.0	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	L	Triton	Triton	レディーズ	L	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TRI-XL	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Triton XL	686487201293.0	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	XL	Triton	Triton	レディーズ	XL	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TRI-XXL	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Triton XXL	686487201316.0	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	XXL	Triton	Triton	レディーズ	XXL	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TOR-S	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Toreador S	 	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	S	Toreador	Toreador	レディーズ	S	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TOR.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TOR-M	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Toreador M	686487201217.0	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	M	Toreador	Toreador	レディーズ	M	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TOR.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
outerwear	ARC003A-TOR-L	Arc'teryx	Arc'teryx Alpha SL Jacket - Men's Toreador L	686487201200.0	UPC	[membrane/laminate] Gore-Tex Paclite (2-layer), [face fabric] N40r (nylon)	2131480051	L	Toreador	Toreador	レディーズ	L	1.0	49871.25	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TOR.jpg											http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D5.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D4.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D3.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_BK_D1.jpg	http://kai8217.xsrv.jp/backcountry_img/ARC003A_TRI_D2.jpg			child	ARC003A	Variation	SizeColor	Update		 																										14	新品																	テスト	JP Parallel Import				
